country,year,primary_energy_consumption,per_capita_energy,population,gdp,pm25_concentration,pm10_concentration,no2_concentration,num_cities_measured
El Salvador,2014,31.532,5.11637929355932e-06,6162952.0,49026874064.0,41.8,,,1
El Salvador,2015,33.657,5.442879840871326e-06,6183675.0,50319726389.0,27.8,,,1
El Salvador,2016,34.125,5.503315051844856e-06,6200808.0,51794877474.0,27.1,,,1
El Salvador,2018,36.138,5.810151864938488e-06,6219803.0,55053057931.0,29.0,,,1
Estonia,2010,73.147,5.493784971271922e-05,1331450.0,27586968284.0,7.726666666666667,15.77,8.52142857142857,7
Estonia,2013,77.463,5.877670875318684e-05,1317920.0,30600421813.0,6.645714285714286,13.842000000000002,8.643333333333333,7
Estonia,2014,74.161,5.641949489408935e-05,1314457.0,31521829560.0,7.508571428571429,14.342000000000002,7.215714285714285,7
Estonia,2015,68.626,5.2203745683031844e-05,1314580.0,32106015454.0,6.362,12.335,6.217142857142858,7
Estonia,2016,70.763,5.3777406239313e-05,1315850.0,33119083785.0,5.204285714285715,11.41,6.435714285714285,7
Estonia,2017,78.484,5.957356368080277e-05,1317430.0,35037377711.0,4.55,10.386000000000001,5.514285714285714,7
Estonia,2018,77.879,5.8911232613096196e-05,1321972.0,36363239216.0,6.095714285714286,13.118,6.505714285714285,7
Estonia,2019,62.761,4.73017480867818e-05,1326822.0,37723175050.0,4.5975,10.873333333333333,5.585,8
Ethiopia,2016,63.782,5.976677091040257e-07,106718163.0,173708917362.0,28.3,,,1
Ethiopia,2017,63.728,5.811073614999339e-07,109666482.0,190761659136.0,27.24,,,1
Ethiopia,2018,69.217,6.143657560940166e-07,112664157.0,206205566995.0,28.79,,,1
Ethiopia,2019,79.654,6.882305202267229e-07,115737384.0,221885291686.0,20.48,,,1
Fiji,2014,6.376,6.948644763614211e-06,917589.0,,7.03,,,1
Fiji,2015,6.745,7.342815308327482e-06,918585.0,,8.1,,,1
Finland,2010,371.291,6.922748052661892e-05,5363347.0,201746033638.0,8.529166666666667,14.886400000000002,16.764444444444443,28
Finland,2013,341.801,6.284195955291514e-05,5439057.0,202349011206.0,6.407692307692307,13.143461538461539,14.304736842105264,30
Finland,2014,329.823,6.038849542064483e-05,5461686.0,201610622550.0,7.609285714285714,14.601923076923075,14.647142857142859,31
Finland,2015,328.893,6.00200484732885e-05,5479719.0,202706706722.0,5.699285714285714,12.48,13.350952380952382,31
Finland,2016,334.083,6.079245662061903e-05,5495468.0,208405735062.0,5.727142857142858,11.933846153846153,13.053,29
Finland,2017,327.216,5.9403115025457495e-05,5508398.0,215058877437.0,4.5128571428571425,10.542962962962964,12.305,29
Finland,2018,333.841,6.0525261388791695e-05,5515730.0,217509947213.0,6.016923076923077,13.121538461538462,11.714,30
Finland,2019,326.992,5.9218864150775285e-05,5521754.0,220173891564.0,5.308333333333334,11.389615384615384,10.485714285714286,30
